127.0.0.1, 2016-03-09 22:36:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000781
127.0.0.1, 2016-03-09 22:36:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.283827
127.0.0.1, 2016-03-09 22:36:33, GET, /SPE/default/permiso_inscripcion_extratemporaneo, HTTP/1.1, 500, 0.539923
127.0.0.1, 2016-03-09 22:36:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000827
127.0.0.1, 2016-03-09 22:36:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 1.271274
127.0.0.1, 2016-03-09 22:36:34, GET, /SPE/default/permiso_evaluacion_extratemporaneo, HTTP/1.1, 200, 0.484424
127.0.0.1, 2016-03-09 22:36:38, GET, /SPE/default/permiso_inscripcion_extratemporaneo, HTTP/1.1, 500, 0.174477
127.0.0.1, 2016-03-09 22:36:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000810
127.0.0.1, 2016-03-09 22:36:42, GET, /admin/default/ticket/SPE/127.0.0.1.2016-03-09.22-36-38.71b28d4f-4a6c-4a87-a79d-427e642fd865, HTTP/1.1, 200, 0.279245
127.0.0.1, 2016-03-09 22:36:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000761
127.0.0.1, 2016-03-09 22:37:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.117797
127.0.0.1, 2016-03-09 22:37:33, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.312954
127.0.0.1, 2016-03-09 22:37:54, GET, /admin/default/edit/SPE/models/db.py, HTTP/1.1, 200, 0.073810
127.0.0.1, 2016-03-09 22:37:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.042653
127.0.0.1, 2016-03-09 22:38:31, POST, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.080289
127.0.0.1, 2016-03-09 22:38:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.104317
127.0.0.1, 2016-03-09 22:38:33, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.294314
127.0.0.1, 2016-03-09 22:39:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093088
127.0.0.1, 2016-03-09 22:39:33, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.276879
127.0.0.1, 2016-03-09 23:22:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.360600
127.0.0.1, 2016-03-09 23:22:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.827080
127.0.0.1, 2016-03-09 23:23:31, POST, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.191036
127.0.0.1, 2016-03-09 23:23:31, GET, /admin/default/resolve/SPE/models/db-syq.py, HTTP/1.1, 200, 0.329062
127.0.0.1, 2016-03-09 23:23:32, GET, /favicon.ico, HTTP/1.1, 400, 0.040898
127.0.0.1, 2016-03-09 23:23:37, POST, /admin/default/resolve/SPE/models/db-syq.py, HTTP/1.1, 303, 0.154781
127.0.0.1, 2016-03-09 23:23:37, GET, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.230167
127.0.0.1, 2016-03-09 23:23:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000780
127.0.0.1, 2016-03-09 23:23:39, GET, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.437133
127.0.0.1, 2016-03-09 23:23:39, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.651927
127.0.0.1, 2016-03-09 23:23:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.775161
127.0.0.1, 2016-03-09 23:23:39, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.843136
127.0.0.1, 2016-03-09 23:23:39, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.424602
127.0.0.1, 2016-03-09 23:23:39, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 1.096958
127.0.0.1, 2016-03-09 23:23:49, GET, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.128127
127.0.0.1, 2016-03-09 23:23:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.043342
127.0.0.1, 2016-03-09 23:24:15, POST, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.116028
127.0.0.1, 2016-03-09 23:24:28, GET, /admin/default/edit/SPE/views/default/permiso_inscripcion_extratemporaneo.html, HTTP/1.1, 200, 0.083863
127.0.0.1, 2016-03-09 23:24:28, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.041254
127.0.0.1, 2016-03-09 23:24:36, POST, /admin/default/edit/SPE/views/default/permiso_inscripcion_extratemporaneo.html, HTTP/1.1, 200, 0.075549
127.0.0.1, 2016-03-09 23:24:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.289775
127.0.0.1, 2016-03-09 23:24:39, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.470548
127.0.0.1, 2016-03-09 23:24:42, GET, /SPE/default, HTTP/1.1, 200, 0.234245
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.037117
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001230
127.0.0.1, 2016-03-09 23:24:43, GET, /SPE/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.011461
